POI ID,POI Name,ADDRESS1,ADDRESS2,City,STATE,PIN,COUNTRY,Tel,LATITUDE,LONGITUDE
1,Titan Store,ABOVE BARISTA,FC ROAD,PUNE,MAHARASTRA,411004,India,9999999999,18.51827,73.841587
2,Titan Store,NEXT TO MC DONALDS,KAMALANAGAR,NEW DELHI,DELHI,110007,India,9999999999,28.681004,77.207824
3,Titan Store,NEAR VASANTHA BHAVAN HOTEL,ANNA NAGAR,CHENNAI,TAMILNADU,600040,India,9999999999,13.083222,80.217815
4,Titan Store,OPP TANISHQ,DWARAKA NAGAR,VISHAKAPATNAM,ANDHRA PRADESH,530016,India,9999999999,17.725896,83.306341
5,Titan Store,OPP SAPNA BOOK HOUSE,KORMANGALA,BANGALORE,KARNATAKA,560095,India,9999999999,12.936532,77.616072
6,Titan Store,3rd BLOCK,JAYANAGAR,BANGALORE,KARNATAKA,560011,India,9999999999,12.930927,77.584046
7,Titan Store,BESIDE CANARA BANK ATM,BEL ROAD,BANGALORE,KARNATAKA,560054,India,9999999999,13.036262,77.566365
8,Titan Store,NEAR DURGA CAFÉ,KOTHRUD,PUNE,MAHARASTRA,411038,India,9999999999,18.50146,73.74395
9,Titan Store,NEAR JANPATH,SRIYA TALKIES SQUARE,BHUBHANESHWAR,ORISSA,751001,India,9999999999,20.27479,85.84342
10,Titan Store,GOKHALE ROAD,NAUPADA,THANE-WEST,MAHARASTRA,400602,India,9999999999,19.18787,72.97287
11,Titan Store,,VELACHERY,CHENNAI,TAMILNADU,600042,India,9999999999,12.983197,80.218177
12,Titan Store,OPP. TO BYK COLLEGE,COLLEGE ROAD,NASIK,MAHARASTRA,422002,India,9999999999,20.00611,73.76283
13,Titan Store,BESIDE HYDERABAD HOUSE,HIMAYAT NAGAR,HYDERABAD,ANDHRA PRADESH,500029,India,9999999999,17.40085,78.48778
14,Titan Store,ZONE 1,MP NAGAR CIRCLE,BHOPAL,MADHYA PRADESH,462016,India,9999999999,23.233437,77.434014
15,Titan Store,OPP LEVIS SHOWROOM,KAMARAJ ROAD,BANGALORE,KARNATAKA,560001,India,9999999999,12.98111,77.60995
16,Titan Store,"LAXMININDRANAAGR,",UDIPI MANIPAL  ROAD,MANIPAL,KARNATAKA,576102,India,9999999999,13.3535,74.78542
17,Titan Store,ROYAL ARCADE,B BARUAH ROAD,GUWAHATI,ASSAM,781007,India,9999999999,26.17636,91.75751
18,Titan Store,NEXT TO ARYAS HOTEL ,R S PURAM,COIMBATORE,TAMILNADU,641002,India,9999999999,11.01557,76.95407
19,Titan Store,HOTEL KOHINOOR PLAZA,NIRALA BAZAAR,AURANGABAD,MAHARASTRA,431001,India,9999999999,19.87828,75.32287
20,Titan Store,K S ROAD,CITI CENTRE MALL,MANGALORE,KARNATAKA,575001,India,9999999999,12.87126,74.84285
21,Titan Store,OPP RATNA STORES,PONDY BAZAAR,CHENNAI,TAMILNADU,600017,India,9999999999,13.04085,80.23731
22,Titan Store,IMAGE HOSPITAL CIRCLE,MADHAPUR,HYDERABAD,ANDHRA PRADESH,500081,India,9999999999,17.431353,78.446929
23,Titan Store,A B ROAD,C 21 MALL,INDORE,MADHYA PRADESH,452008,India,9999999999,22.74418,75.89397
24,Titan Store,OPP HONDA SHOWROOM,OFF C G ROAD,AHMEDABAD,GUJARAT,380009,India,9999999999,23.03699,72.56052
25,Titan Store,NEXT TO VISHWANATH THEATRE,KUKATPALLY,HYDERABAD,ANDHRA PRADESH,500072,India,9999999999,17.49629,78.39715
26,Titan Store,OPP RAINBOW MALL,KHARKHANA,SECUNDERABAD,ANDHRA PRADESH,500015,India,9999999999,17.46449,78.5035
27,Titan Store,NEXT TO ICICI BANK,KOLHAPUR,KOLHAPUR,MAHARASTRA,416003,India,9999999999,16.71082,74.24508
28,Titan Store,BESIDE LAWRENCE AND MAYO,PARK STREET,KOLKATA,WEST BENGAL,700016,India,9999999999,22.54756,88.34818
29,Titan Store,NEAR ASHOKNAGAR POLICE STATION,ASHOK NAGAR,CHENNAI,TAMILNADU,600083,India,9999999999,13.043286,80.216651
30,Titan Store,NR FORTUNE MURALI PARK HOTEL,M G ROAD,VIJAYAWADA,ANDHRA PRADESH,520010,India,9999999999,16.501179,80.645919
31,Titan Store,3RD FLOOR,JD HIGH STREET MALL,RANCHI,JHARKHAND,834002,India,9999999999,23.35629,85.35492
32,Titan Store,NEHRU NAGAR,ADYAR,CHENNAI,TAMILNADU,600020,India,9999999999,13.002901,80.252075
33,Titan Store,BOMBAY PUNE ROAD,CHINCHWAD,PUNE,MAHARASTRA,411019,India,9999999999,18.636521,73.796593
34,Titan Store,SAMPIGE ROAD,MALLESHWARAM,BANGALORE,KARNATAKA,560003,India,9999999999,13.00117,77.57144
35,Titan Store,"OPP. BOMBAY HIGH, NEXT TO CALVIN KLEIN",LINKING ROAD,MUMBAI,MAHARASTRA,400052,India,9999999999,19.07116,72.834367
36,Titan Store,,ELURU ROAD,VIJAYAWADA,ANDHRA PRADESH,520002,India,9999999999,16.679228,81.024532
37,Titan Store,"KELLYS BUS STOP, PURUSAIWALKAM HIGH ROAD",PURUSAIWALKAM,CHENNAI,TAMILNADU,600010,India,9999999999,13.085571,80.247636
38,Titan Store,BULL TEMPLE ROAD,BASAVANGUDI,BANGALORE,KARNATAKA,560019,India,9999999999,12.947022,77.567685
39,Titan Store,NEHRU NAGAR,AMBEDKAR ROAD,GHAZIABAD,UTTAR PRADESH,201001,India,9999999999,28.66875,77.43236
40,Titan Store,"S V ROAD, NR. KORA KENDRA BUS STOP, OPP. SARASWAT BANK",BORIVALLI,MUMBAI,MAHARASTRA,400092,India,9999999999,19.233561,72.836842
41,Titan Store,"OPP SAFFRON BUILDING, NEXT TO GINGER HOTEL",FATHEGUNJ,BARODA,GUJARAT,390002,India,9999999999,22.31887,73.188265
42,Titan Store,CIVIL LINES,SAHARAGUNJ MALL,LUCKNOW,UTTAR PRADESH,226001,India,9999999999,26.855284,80.946228
43,Titan Store,OPP ST JOSEPH'S ACADEMY,RAJPUR ROAD,DEHRADUN,UTTARAKHAND,248009,India,9999999999,30.363419,78.068837
44,Titan Store,OPP JOCKY,NUCLUES MALL,COCHIN,KERALA,682304,India,9999999999,9.939653,76.33112
45,Titan Store,"LIC COLONY, BHEEMA JYOTI NAGAR",BASWESHWARNAGAR,BANGALORE,KARNATAKA,560079,India,9999999999,12.997264,77.540308
46,Titan Store,OPP LEE,INORBIT MALL,PUNE,MAHARASTRA,411014,India,9999999999,18.560445,73.920887
47,Titan Store,MURBAD ROAD,KALYAN,MUMBAI,MAHARASTRA,421301,India,9999999999,18.34263,73.75703
48,Titan Store,NEXT TO LEVIS,DEVRAJ URS ROAD,MYSORE,KARNATAKA,570001,India,9999999999,12.309689,76.645861
49,Titan Store,BRINDAVAN NAGAR,VALSARVAKKAM,CHENNAI,TAMILNADU,600087,India,9999999999,13.04236,80.17996
50,Titan Store,BESIDE TITAN EYE PLUS,PATIA,BHUBHANESHWAR,ORISSA,751014,India,9999999999,20.358669,85.823092
51,Titan Store,"A - WING, OPP MC DONALDS",LOKHANDWALA,MUMBAI,MAHARASTRA,421020,India,9999999999,19.141152,72.825931
52,Titan Store,"MATRU CJAYA COMPLEX, AXIS BANK BUILDING ",DILSHUKNAGAR,HYDERABAD,ANDHRA PRADESH,500036,India,9999999999,17.368748,78.530005
53,Titan Store,CRESENT'S KRISHNA MANSION,A S RAO NAGAR,HYDERABAD,ANDHRA PRADESH,560062,India,9999999999,17.47526,78.54629
54,Titan Store,"100FT RING ROAD, BELOW FOOD WORLD",BANASHANKARI,BANGALORE,KARNATAKA,560085,India,9999999999,12.924151,77.553067
55,Titan Store,PHOENIX MARKET CITY ,PHOENIX MALL,BANGALORE,KARNATAKA,560048,India,9999999999,12.9994,77.6965
56,Titan Store,RUSTUMJI MANSION,BITSUPUR,JAMSHEDPUR,JHARKHAND,831001,India,9999999999,22.79836,86.18416
57,Titan Store,NEXT TO WOT,Z SQUARE MALL,KANPUR,UTTAR PRADESH,208001,India,9999999999,26.473313,80.352759
58,Titan Store,RAHUL RAJ MALL,"GAURAV PATH, PIPLOD",SURAT,GUJARAT,395007,India,9999999999,21.155963,72.766531
59,Titan Store,JAMINPALLAVARAM VILLAGE,CHROMEPET,CHENNAI,TAMILNADU,600044,India,9999999999,13.060539,80.249631
60,Titan Store,,CROWN INTERIORZ MALL,FARIDABAD,HARYANA,121003,India,9999999999,28.483783,77.310252
61,Titan Store,SUPER MALL 2,INFOCITY,GANDHINAGAR,GUJARAT,382009,India,9999999999,23.196082,72.634451
62,Titan Store, FIRST FLOOR,MGF METROPILITAN,GURGAON,HARYANA,122002,India,9999999999,28.48006,77.080505
63,Titan Store,"MAIN ROAD, PANDRI  ",NEAR PANDRI BUS STAND  ,RAIPUR,CHATTISGARH,492001,India,9999999999,21.256972,81.646327
64,Titan Store,"#22/B, GOKULAM MAIN ROD  ","B M HABITAT MALL, J L PURAM",MYSORE,KARNATAKA,570012,India,9999999999,12.32096,76.62016
65,Titan Store,NIRMAL LIFESTYLE MALL  ,"L B S MARG , MULUND (W)",MUMBAI,MAHARASTRA,400080,India,9999999999,19.119339,72.92587
66,Titan Store,"L B S MARG, OPP NAAZ HOTEL   ",KURLA MARKET CITY,MUMBAI,MAHARASTRA,400070,India,9999999999,19.068471,72.875182
67,Titan Store,",SHOP NO. 3&6, SADODAY ARCADE,NEAR BANK OF BARODA,WHC ROAD,",DHARAMPET,NAGPUR,MAHARASTRA,440002,India,9999999999,21.143881,79.061104
68,Titan Store,"NO 151,","VAKIL NEW STREET , (NEAR CHOKKANATHAR KOIL)",MADURAI,TAMILNADU,625001,India,9999999999,9.91826,78.11366
69,Titan Store, DLF MALL,CHANDIGARH,CHANDIGARH,CHANDIGARH,160101,India,9999999999,30.729036,76.845656
70,Titan Store,TITAN WATCH DIVISION,3-SIPCOT INDUSTRAIL COMPLEX ,HOSUR,TAMILNADU,635126,India,9999999999,12.746,77.829
71,Titan Store," FIRST FLOOR,  SCHEME - I, NEAR VASTRAPUR LAKE, PLOT NO 216, T.P ,",ALFA ONE MALL , AHMEDABAD,GUJARAT,380054,India,9999999999,23.0414,72.5315
72,Titan Store,18 JUNE ROAD,PANJIM,GOA,GOA,403001,India,9999999999,15.514,73.825
73,Titan Store,"PHOENIX UNITED MALL,","ALAMBAGH,", LUCKNOW,UTTAR PRADESH,226005,India,9999999999,26.7996,80.8969
74,Titan Store,"NYAMO LOTHA ROAD, BEHIND POLICE OUTPOST",DIMAPUR,DIMAPUR,NAGALAND,797112,India,9999999999,25.90936,93.72398
75,Titan Store,"OZONE GALLERIA, GOVINDPUR MAIN ROAD",DHANBAD,DHANBAD,JHARKHAND,828127,India,9999999999,23.8106,86.4569
76,Titan Store,"NSCB ARCADE, OLD JAIL ROAD",CUTTACK,CUTTACK,ORISSA,753001,India,9999999999,20.4692,85.8691
77,Titan Store,"SANGAVI NAGAR, ","AUNDH, ",PUNE,MAHARASTRA,411007,India,9999999999,18.56689,73.81441
78,Titan Store,"SECTOR 18, ",NOIDA ,NOIDA ,UTTAR PRADESH,201301,India,9999999999,28.5705,77.3231
79,Titan Store,"SHOP NO.FF-13, KOREGAON PARK PLAZA , KOREGAON PARK",KPP MALL,PUNE,MAHARASTRA,411001,India,9999999999,18.5417,73.9042
80,Titan Store,"( EROS building), J T Road,",CHURCHAGTE,MUMBAI,MAHARASTRA,400 020,India,9999999999,18.943,72.828
81,Titan Store,"EAST END ROAD, 9th BLOCK",JAYANAGAR,BANGALORE,KARNATAKA,560069,India,9999999999,12.9238,77.5971
82,Titan Store,BRIGADE ORION MALL,MALLESHWARAM,BANGALORE,KARNATAKA,560055,India,9999999999,13.01162,77.55506
83,Titan Store,"CHINNA CHOKKIKULAM, ",VISHAAL DE MALL,MADURAI,TAMILNADU,625002,India,9999999999,9.93888,78.13655
84,Titan Store,"NAGINA APT, PADMAVATI CORNER, ",SATARA ,PUNE,MAHARASTRA,411043,India,9999999999,18.5417,73.9042
85,Titan Store,"RUPANI CIRCLE,","SHUKAN PLAZA MALL, ",BHAVNAGAR,GUJARAT ,364001,India,9999999999,21.75956,72.15232
86,Titan Store,"NO 63, 5TH A BLOCK",KORMANGALA 100 Ft ROAD,BANGALORE,KARNATAKA,560034,India,9999999999,12.9333,77.62304
87,Titan Store,VELECHERY ROAD,SELAIYUR,CHENNAI,TAMILNADU,600073,India,9999999999,12.92301,80.1484
88,Titan Store,ABU LANE,MEERUT,MEERUT,UTTAR PRADESH,250001,India,9999999999,29.092,77.717
89,Titan Store,"GRAIN MERCHANTS CHS., ABHYUDAYA BANK LANE, ",VASHI ,MUMBAI,MAHARASTRA,400703,India,9999999999,19.10491,73.00425
90,Titan Store,THILLAI NAGAR,TRICHY,TRICHY,TAMILNADU,620018,India,9999999999,10.8252,78.6834
91,Titan Store," 148- RASHBIHARI AVENUE,  OPP. PRIYA CINEMA. ",RASHBIHARI,KOLKATA,WEST BENGAL,700029 ,India,9999999999,22.5214,88.3548
92,Titan Store,OPP COFFEE DAY , SR NAGAR,HYDERABAD,ANDHRA PRADESH,500038,India,9999999999,17.44163,78.44332
93,Titan Store,"NEXT TO GRAND HOTEL, ",MG ROAD, COCHIN ,KERALA,682035,India,9999999999,9.9726,76.2851
94,Titan Store,GROUND FLOOR,"FORUM MALL, KORMANGALA",BANGALORE,KARNATAKA,560029,India,9999999999,12.934508,77.610978
95,Titan Store,GANESHKHIND,E SQUARE MULTIPLEX,PUNE,MAHARASTRA,411016,India,9999999999,18.543052,73.827543
96,Titan Store,MOLEDINA ROAD,SGS MALL,PUNE,MAHARASTRA,411011,India,9999999999,18.519653,73.87747
97,Titan Store,FIRST FLOOR,CITY CENTRE MALL,CHENNAI,TAMILNADU,600004,India,9999999999,13.042964,80.27394
98,Titan Store,BETWEEN PANTALOONS & LIFESTYLE,MALLESHWARAM,BANGALORE,KARNATAKA,560003,India,9999999999,12.99235,77.570397
99,Titan Store,BESIDE FLYING MACHINE & VAN HEUSEN,GVK MALL,HYDERABAD,ANDHRA PRADESH,500034,India,9999999999,17.41737,78.449641
100,Titan Store,OPP SUBWAY,VARUN BEACH MALL,VISHAKAPATNAM,ANDHRA PRADESH,530002,India,9999999999,17.710645,83.316085
101,Titan Store,NEXT TO ARCHIES GALLERY,JHV MALL,VARANASI,UTTAR PRADESH,221002,India,9999999999,25.335862,82.977483
102,Titan Store,OPP HIDESIGN,BAY PRIDE MALL,COCHIN,KERALA,682031,India,9999999999,9.976744,76.277559
103,Titan Store,NEXT TO LEE & WRANGLER,CITY CENTRE MALL,HYDERABAD,ANDHRA PRADESH,500034,India,9999999999,17.415243,78.449308
104,Titan Store,D B CITY MALL,ARERA HILLS,BHOPAL,MADHYA PRADESH,462016,India,9999999999,23.234393,77.431289
105,Titan Store,FORTUNE MALL,ICCHALKARANJI SANGLI ROAD,ICCHALKARANJI,MAHARASTRA,416115,India,9999999999,16.6923,74.4755
106,Titan Store,"JUNCTION MALL, RKB PATH",DIBRUGARH,DIBRUGARH,ASSAM,786001,India,9999999999,27.479577,94.905168
107,Titan Store,"NANDED TREASURE BAZAAR,NANDED LATUR ROAD, VASARNI, ",NANDED,NANDED,MAHARASTRA,431606,India,9999999999,19.194,77.31
108,Titan Store,UPPER GROUND FLOOR,SAMDARIYA MALL,JABALPUR,MADHYA PRADESH,482001,India,9999999999,23.1699,79.9338
109,Titan Store,"API CORNER, CHIKALTHANE,",PROZONE MALL,AURANGABAD,MAHARASTRA,431210,India,9999999999,19.8782,75.3721
110,Titan Store," BEHIND KBN HOSPITAL,","ASIAN MALL,", GULBARGA ,KARNATAKA,585321,India,9999999999,17.32616,76.83441
111,Titan Store,"City Center Mall, Ground Floor, Near Levis. Ph: 6511205",,Siliguri,West Bengal,734401,India,9999999999,26.72407,88.394693
112,Titan Store,"Begumpet, Beside Sony Centre. Ph: 66334484",,Hyedrabad,ANDHRA PRADESH,500016,India,9999999999,17.45,78.466
113,Titan Store,"Empress Mall, Ground Floor. Ph: 6450744",,NAGPUR,MAHARASTRA,440001,India,9999999999,21.1502,79.0935
