POI NAME,Address 1,Address 2,CITY,STATE,Address Zip,Phone,Country,Lat,Lon
Shoppers Stop,"FP No. 216, TP Scheme - 1", Vastrapur,Ahmedabad,Gujarat,380054,40272323,India,23.039826,72.531386
Shoppers Stop,"# 59A -1-4,LEPL ICON Mall"," Besides Maris Stella College,Ring Road",Vijayawada,Andhra Pradesh,520 008,3069800,India,16.50274,80.659826
Shoppers Stop,Opp. Alankar Talkies, Chainsukh Road,Latur,Maharashtra,413 512,661800,India,18.402089,76.583893
Shoppers Stop,"Prozone Mall, Plot Sector-C","Chikalthana Industrial Area,Masantpur",Aurangabad,Maharashtra,431210,6649111,India,19.876702,75.373683
Shoppers Stop,"Mall of Mysore, C 1,Indiranagar Extension"," Nazarabad Mohalla,M. G. Road, Near Mysore Zoo, Next to Mysore Golf Course",Mysore,Karnataka,570010,42863000,India,12.297975,76.664823
Shoppers Stop,"Junction mall,Mouza-Faridpur","J.L no 74, City Centre",Durgapur,West Bengal,713216,6606666,India,23.539316,87.290419
Shoppers Stop,"Alpha One Mall, MBM Farms, Sultanwind","Near Istaa Hotel, G T Road",Amritsar,Punjab,143010,6611900,India,31.619342,74.907952
Shoppers Stop,Suncity Trion Mall," Near Bhawani Niketan College, Off Sikar Road ",Jaipur,Rajasthan,302012,5156850,India,26.941035,75.771597
Shoppers Stop,"304, 3rd Floor, Gaurav Towers 2"," Plot no. 2,Indira Palace  Malaviya Nagar",Jaipur,Rajasthan,302017,4139000,India,26.855518,75.807096
Shoppers Stop,DB City Mall,Arera Hills,Bhopal,MP,462011,6546370,India,23.232616,77.430473
Shoppers Stop,BPK Star Building," Opp. Lig Gurudwara, A.B.Road, Near Shaniwar Darpan",Indore,MP,452001,4220700,India,22.719616,75.857728
Shoppers Stop,AlphaOne," Near Istaa Hotel, G.T. Road",Amritsar,Punjab,143010,0183-6611900. ,India,31.619328,74.907998
Shoppers Stop,"Prozone Mall, Gate No. 3"," Plot No. 80, Sector C,Chikalthana Industrial Area",Aurangabad,Maharashtra,431210,0240 6649111,India,19.876762,75.373621
Shoppers Stop,DB City, Arera Hills.,Bhopal,MP,462011,0755-6546370,India,23.232666,77.430476
Shoppers Stop,Fun Republic Mall, Gomti Nagar,Lucknow,UP,226010,0522-4036800/2304602-610,India,26.857081,80.976064
Shoppers Stop,Junction Mall," Mouza-Faridpur, J.L. No. 74, City Centre. ",Durgapur,West Bengal,713216,0343 2542740/41,India,23.53935,87.290416
Shoppers Stop,"E 0001, Ground Floor, City Centre"," MatiGara, NH 31",Siliguri,West Bengal,734010,0353 2571132/52. ,India,26.7175,88.392
Shoppers Stop,Opp. LIG Gurudwara," B.P.K. Star Building, A.B. Road",Indore,MP,452001,0731 4220700,India,22.719621,75.857731
Shoppers Stop,"Tower A, Spaze, I Tech Park", Sector 49  Gurgaon Sohna Road,Gurgaon,Delhi-NCR,122 002,0124: 4920000,India,28.41367,77.042304
Shoppers Stop,"MBD Neopolis Mall, Civil Lines","  Beside Hotel Raddison,  BMC Chowk, GT Road",Jalandhar,Punjab,,(0181) – 6600500,India,30.883344,75.781843
Shoppers Stop,"Plot No # 59A-1-4,LEPL ICON mall"," Beside Marie Stella College, Ring road",Vijaywada,Andhra Pradesh,520008,0866 3069800,India,16.502691,80.65984
Shoppers Stop,Inorbit Mall  Opp. CTR Factory," Somnath Nagar Corner, Nagar Road, Viman Nagar.",Pune,Maharashtra,411014,020-66870100 ,India,18.561068,73.920685
Shoppers Stop,Nucleus Mall, Opp. Commissioner’s Office  Camp. ,Pune,Maharashtra,411001,41400200,India,18.521454,73.877123
Shoppers Stop,Wakdewadi, Shivaji Nagar,Pune,Maharashtra,411005,41400500,India,18.53466,73.85227
Shoppers Stop,City Centre, Salt Lake ,Kolkata,West Bengal,700064,44030000,India,22.587642,88.407733
Shoppers Stop,The Forum Mall, Elgin Road ,Kolkata,West Bengal,700020,44030222,India,22.537905,88.35124
Shoppers Stop,South City Mall, Prince Anwar Shah Road,Kolkata,West Bengal,700068,44030011,India,22.501996,88.361835
Shoppers Stop,GVK One Mall," Road No. 1, Banjara Hills.",Hyderabad,Andhra Pradesh,500034,44767710/12 ,India,17.419225,78.448361
Shoppers Stop,Airport Road, Begumpet,Hyderabad,Andhra Pradesh,500034,44758802,India,17.445253,78.465677
Shoppers Stop,Inorbit Mall," Hi Tech City, Madhapur. ",Hyderabad,Andhra Pradesh,500081,44609500,India,17.434702,78.386971
Shoppers Stop,GMR Hyderabad International Airport," Level-F, Passenger Terminal Building. ",Hyderabad,Andhra Pradesh,500409,66603757,India,17.41654,78.438236
Shoppers Stop,Ambience Mall," Nelson Mandela Road, Vasant Kunj. ",Delhi,Delhi,110070,40870400,India,28.540544,77.154737
Shoppers Stop,Ansal Plaza, Khel Gaon Marg.,Delhi,Delhi,110049,45737177,India,28.562547,77.224786
Shoppers Stop,Raja Garden, Opp. Rajouri Garden Metro Station. ,Delhi,Delhi,110027,45055400,India,28.651228,77.121228
Shoppers Stop,MGF Metropolitan Mall, Saket. ,Delhi,Delhi,110017,46098300,India,28.523736,77.206447
Shoppers Stop,MGF Metropolitan Mall,,Gurgaon,Delhi-NCR,122002,95124-4019988 ,India,28.478754,77.082223
Shoppers Stop,Shipra Mall  ,Indirapuram,Ghaziabad,Delhi-NCR,201012,95120-4189647 ,India,28.634117,77.369957
Shoppers Stop,The Great India Place, Opp. Sec 18 Market. ,Noida,Delhi-NCR,201301,95120-4056000,India,28.567857,77.325218
Shoppers Stop,K.R.M Centre, Harrington Road  Chetpet. ,Chennai,TN,600031,43972626,India,13.060484,80.249582
Shoppers Stop,Shyamala Towers,"136  Arcot Road  Saligramam,next to Avichi School",Chennai,TN,600093,499013500-49,India,13.047903,80.198626
Shoppers Stop,S.V. Road, Andheri.,Mumbai,Maharashtra,400058,40746000,India,19.139221,72.844532
Shoppers Stop,Linking Road, Bandra,Mumbai,Maharashtra,400050,42492100/26435424,India,19.06155,72.835949
Shoppers Stop,Near Amar Mahal, Chembur.,Mumbai,Maharashtra,400089,42492300,India,19.066871,72.899828
Shoppers Stop,Next to Chandan Cinema, Juhu,Mumbai,Maharashtra,400049,26256271,India,19.114777,72.826883
Shoppers Stop,S.V. Road, Kandivili,Mumbai,Maharashtra,,42492222,India,19.19784,72.84842
Shoppers Stop,Nirmal Lifestyle, Mulund. ,Mumbai,Maharashtra,400080,41597777,India,19.165886,72.937642
Shoppers Stop,Inorbit Mall, Sector 30 A  Vashi,Navi Mumbai,Maharashtra,4000705,41592600,India,19.066215,73.000355
Shoppers Stop,Inorbit Mall," Link Road, Malad (West). ",Mumbai,Maharashtra,400064,42492500,India,19.172248,72.835511
Shoppers Stop,"Koramangala Industrial Layout, Adugodi Road"," Next to Forum Mall,Salarpuria Tower - 2",Bangalore,Karnataka,560095,41485762/63 ,India,12.943551,77.611152
Shoppers Stop,Upper Ground Floor," Mantri Square, Sampige Road, Malleswaram",Bangalore,Karnataka,560003,43627600,India,12.991707,"77.571013"""
Shoppers Stop,Garuda Mall, Magrath Road,Bangalore,Karnataka,560025,43401300/317/320/301 ,India,12.970037,77.610069
Shoppers Stop,Commerce@mantri, Bannerghatta Road,Bangalore,Karnataka,560076,43400400/404/414/405 ,India,12.91258,77.600593
Shoppers Stop,Bangalore International Airport, Domestic Passenger Terminal. ,Bangalore,Karnataka,560300,66783613,India,13.200578,77.709192
